"nearc2","wage","educ","south","black"
0,548,7,0,1
0,481,12,0,0
0,721,12,0,0
1,250,11,0,0
1,729,12,0,0
1,500,12,0,0
1,565,18,0,0
1,608,14,0,0
1,425,12,0,0
1,515,12,0,0
1,225,9,0,0
1,400,12,0,0
1,417,11,0,0
1,217,11,0,0
1,894,16,0,1
1,300,14,0,0
1,346,12,0,0
1,658,14,0,0
1,575,10,0,0
1,649,12,0,0
1,944,18,1,0
1,614,18,0,0
1,726,15,0,0
0,604,12,0,0
0,693,12,0,0
0,1400,18,0,0
0,300,12,0,0
0,1800,18,0,0
0,413,12,0,0
0,632,14,0,0
1,208,12,0,0
1,457,12,0,1
1,824,16,0,0
1,577,18,0,0
1,255,11,0,0
1,962,16,0,0
1,944,10,0,0
1,1146,18,0,0
1,324,6,0,0
1,235,11,0,1
1,1000,12,0,0
1,481,9,0,0
1,624,15,0,0
1,650,11,0,0
1,344,12,0,1
1,380,16,1,0
1,353,12,0,0
1,659,13,0,0
1,621,17,0,0
1,440,12,0,0
1,738,12,0,1
1,280,11,1,1
1,434,10,0,0
1,705,12,0,0
1,425,12,0,0
1,571,12,0,0
1,538,16,0,0
1,740,16,0,0
1,673,13,0,0
1,769,12,0,0
1,592,12,0,0
1,213,9,0,1
1,1563,16,0,0
1,774,16,0,0
1,600,12,1,0
1,693,18,0,0
1,570,13,0,0
1,433,14,0,0
1,538,15,0,0
1,627,12,0,0
1,481,8,0,0
1,545,12,0,0
1,576,12,0,0
1,700,16,0,0
1,788,16,0,0
1,1012,17,0,0
1,758,12,0,0
1,601,14,0,0
1,283,12,0,0
1,250,12,0,0
1,500,12,0,0
1,550,11,0,0
1,1143,12,0,0
1,810,18,1,0
1,313,12,0,1
1,731,18,0,0
1,625,16,0,0
1,588,14,0,0
1,375,14,0,0
1,817,16,1,0
1,865,14,0,0
1,350,15,1,0
1,202,13,1,0
1,505,13,1,0
1,816,17,0,0
1,625,18,0,0
1,769,18,0,0
1,500,17,0,0
1,619,17,0,0
1,650,12,0,0
0,769,18,0,0
0,512,12,0,0
0,625,18,0,0
0,1111,14,0,0
0,721,13,0,0
0,1154,14,0,0
0,827,18,0,0
0,923,16,0,0
0,1076,17,0,0
0,625,12,0,0
0,460,13,0,0
0,900,14,0,1
0,682,18,0,0
0,411,12,0,0
0,625,13,0,0
0,1005,18,0,0
0,725,11,0,0
0,750,15,0,0
0,529,14,0,0
0,972,17,0,0
0,472,12,0,0
0,325,12,0,0
0,875,12,0,0
0,625,13,0,0
0,337,12,0,0
0,481,16,0,0
0,650,9,0,0
0,383,16,0,0
0,962,18,0,0
0,615,16,0,0
0,702,14,0,0
0,635,14,0,0
0,200,12,0,0
0,817,12,0,0
0,577,14,0,0
0,466,17,0,0
0,924,16,0,0
0,793,16,1,0
0,635,14,0,0
0,570,12,0,0
0,705,16,0,0
0,635,14,0,0
0,694,12,0,0
0,615,13,0,0
0,462,16,0,0
0,865,12,0,0
0,737,18,1,0
0,1400,12,0,0
0,808,12,0,0
0,654,16,0,0
0,300,12,0,0
0,577,16,0,0
0,265,16,0,0
0,594,18,0,0
0,325,17,0,0
0,385,16,0,0
0,1000,18,0,0
0,465,18,0,0
0,440,16,0,0
0,625,16,0,0
0,285,17,0,0
0,650,14,0,0
0,808,13,0,0
0,500,12,0,0
0,831,16,0,0
0,500,12,0,0
0,693,17,0,0
0,1100,12,0,0
0,763,12,0,0
1,795,12,0,0
1,333,16,0,0
1,409,18,0,0
1,865,16,0,0
1,888,12,0,0
1,673,12,0,0
1,700,12,0,0
1,250,18,1,0
1,625,11,0,0
1,417,13,0,0
1,576,13,0,0
1,613,12,0,1
1,700,12,0,0
1,450,12,0,0
1,500,16,0,0
1,514,12,0,0
1,250,16,0,0
1,315,12,0,0
1,375,12,0,0
1,457,15,0,0
1,275,12,0,1
1,951,12,0,0
1,1115,16,0,0
1,289,16,0,0
1,500,16,0,0
1,726,18,0,0
1,1265,18,0,0
1,613,17,0,1
0,545,12,0,0
0,278,13,0,0
0,1442,18,0,0
0,995,16,0,0
0,700,12,0,0
0,577,16,0,0
0,858,16,0,0
0,686,12,0,0
0,832,15,0,0
1,633,13,0,0
1,689,12,0,0
1,769,14,0,0
1,385,15,0,0
1,450,12,0,0
1,615,12,0,0
1,682,12,0,0
1,670,10,0,0
1,800,11,0,0
1,505,14,0,0
1,1026,18,0,0
1,769,15,0,0
1,290,10,1,0
1,529,13,0,0
1,1154,16,0,0
1,549,10,0,0
1,475,12,0,0
1,450,12,0,0
1,875,17,0,0
1,200,15,0,0
1,300,13,0,0
1,462,16,0,0
1,385,12,0,0
1,1282,15,0,0
1,588,16,0,0
1,600,12,0,0
1,500,16,0,0
1,440,12,0,1
0,467,18,1,0
0,929,17,0,0
0,556,16,0,0
0,438,13,0,0
0,600,12,0,1
0,575,12,0,1
0,389,12,0,1
0,795,12,0,0
0,471,18,0,0
0,202,17,0,0
0,200,17,0,0
0,350,17,0,0
0,375,14,0,0
0,481,16,0,0
0,962,18,0,0
0,423,15,0,0
0,500,15,0,0
0,450,9,0,0
0,476,8,0,0
0,136,12,0,0
0,575,12,0,0
0,577,12,0,0
0,310,12,0,0
0,700,9,0,0
0,1322,14,0,0
0,551,10,0,0
0,881,17,0,0
0,760,12,0,0
0,708,12,0,0
0,425,12,0,0
0,427,12,0,0
0,576,16,0,0
0,400,9,0,0
0,500,12,0,0
0,531,12,0,0
0,673,16,0,0
0,577,16,1,0
0,325,16,0,0
0,500,11,0,0
0,770,12,0,0
0,500,12,0,0
0,391,16,0,0
0,810,12,0,0
1,543,9,0,1
1,593,9,0,1
1,864,17,0,0
1,700,10,0,1
1,510,12,0,0
1,615,13,0,0
1,761,14,0,0
1,493,10,0,0
1,445,16,0,0
1,425,12,0,0
1,750,16,0,0
1,700,16,0,0
1,438,12,0,0
1,608,12,0,0
1,450,13,0,0
1,313,3,0,0
1,250,7,0,1
1,500,14,0,0
0,365,12,0,0
0,813,12,0,0
0,326,12,0,0
0,524,12,0,0
0,815,13,0,0
0,750,12,0,0
0,525,17,0,0
0,1125,12,0,0
0,625,12,0,0
0,715,14,0,0
0,591,12,0,0
0,404,17,0,0
0,675,12,0,0
0,444,12,0,0
0,488,12,0,0
0,695,9,0,0
0,700,12,1,0
0,325,12,1,0
0,556,9,0,0
1,325,12,0,0
1,668,13,0,0
1,2404,18,0,0
1,758,16,0,0
1,986,16,0,0
1,577,12,0,0
1,286,17,0,0
1,231,14,1,0
1,513,12,0,0
1,615,15,0,0
1,700,15,0,0
1,714,18,0,0
1,701,9,0,0
1,462,12,0,1
1,868,18,0,0
1,917,16,0,0
1,1065,12,0,0
0,400,12,1,0
0,640,12,0,0
0,285,13,0,0
0,641,17,1,0
1,389,13,0,0
1,1010,12,0,0
1,817,12,0,0
1,975,17,0,0
1,750,12,0,1
1,463,15,0,0
1,1387,12,0,0
1,577,12,0,0
1,401,12,0,0
1,320,10,0,0
1,514,12,0,0
1,208,11,0,0
1,1192,17,0,0
1,625,14,0,0
1,481,17,0,0
1,714,13,0,0
1,625,11,0,0
1,553,12,0,0
1,579,12,0,0
1,841,18,0,0
1,1923,18,0,0
1,806,16,0,0
1,344,12,0,1
1,962,12,0,0
1,600,12,0,0
1,837,18,0,0
1,625,16,0,0
1,563,16,0,0
1,1410,16,0,0
1,480,12,0,0
1,600,12,0,0
1,300,9,0,0
1,505,9,0,0
1,417,14,0,1
1,300,12,0,1
1,865,18,0,0
1,300,16,0,0
1,721,12,0,0
1,856,12,0,0
1,738,10,0,0
1,1058,17,0,1
1,529,12,0,1
1,572,11,0,0
1,805,12,0,0
1,400,10,0,0
1,962,18,0,0
1,817,18,0,0
1,740,13,0,0
1,721,18,0,0
1,913,18,0,0
1,379,17,0,0
1,350,14,0,0
1,694,11,0,0
1,1014,12,1,0
1,1136,18,0,0
1,1709,18,0,0
1,529,12,0,0
1,673,17,0,1
1,1010,17,0,0
1,846,18,0,0
1,710,11,0,0
1,820,16,0,0
1,447,12,0,0
1,500,15,0,0
1,1049,16,0,0
1,1202,18,0,0
1,690,12,0,0
1,648,16,0,0
1,875,13,0,0
1,548,17,0,0
1,600,7,0,0
1,2244,15,0,0
1,1442,12,0,0
1,320,12,0,1
1,1262,18,0,0
1,600,12,0,0
1,300,11,0,1
1,538,16,0,0
1,744,12,0,0
1,846,12,0,0
1,813,16,0,0
1,1000,12,0,0
1,561,16,0,0
1,285,18,0,0
1,437,16,0,0
1,325,13,0,0
1,580,16,0,0
1,588,16,0,1
1,801,18,0,0
1,312,14,0,0
1,250,12,0,1
1,500,15,0,1
1,750,12,0,1
1,343,13,1,0
1,250,15,0,0
1,700,16,0,0
1,400,12,0,0
1,555,17,0,0
1,699,15,0,0
1,1923,14,0,0
1,1216,18,0,0
1,615,16,0,0
1,745,14,0,0
1,458,16,0,0
1,647,18,0,0
1,745,12,0,0
1,815,16,1,0
1,865,16,0,0
1,542,12,0,0
1,365,13,0,0
1,417,10,0,0
1,657,16,0,0
1,529,15,0,0
1,851,17,0,0
1,663,12,0,0
1,529,16,0,0
1,889,18,0,0
1,865,17,1,0
1,231,18,1,0
1,802,12,1,0
1,533,13,0,0
1,775,15,0,1
1,476,14,0,1
1,865,16,0,0
1,1014,16,0,0
1,641,18,0,0
1,333,16,0,0
1,556,11,0,1
1,528,18,0,0
1,635,12,0,0
1,500,11,1,1
1,1154,16,0,1
1,855,18,0,0
1,479,12,0,0
1,817,18,1,0
1,692,18,0,0
1,989,16,0,0
1,447,16,1,0
1,1002,18,0,0
1,1241,18,0,0
1,921,14,0,0
1,571,12,0,0
1,525,12,0,0
1,1154,12,0,0
1,480,12,0,1
1,839,11,0,0
1,1402,14,0,0
1,400,13,0,1
1,710,12,0,0
1,635,14,0,0
1,388,13,0,0
1,688,12,0,0
1,630,12,0,0
0,1044,15,0,0
0,577,12,0,0
0,500,12,0,0
1,781,12,0,0
1,577,13,0,0
1,525,13,0,0
1,385,17,0,0
0,625,12,0,0
0,625,16,0,0
0,475,13,0,0
0,659,14,0,0
0,425,16,0,0
0,524,14,0,0
0,625,12,0,0
0,1010,16,0,0
0,601,12,0,0
0,808,12,0,0
0,426,12,0,0
0,1060,12,0,0
0,414,12,0,0
0,492,12,0,0
0,325,12,0,0
0,275,12,0,0
0,291,12,0,0
0,731,18,1,0
0,488,14,1,0
0,337,14,0,0
0,725,12,0,0
0,440,13,0,0
0,641,16,0,0
0,375,12,0,0
0,481,12,0,0
0,925,14,0,0
0,514,12,0,0
0,1065,12,0,0
0,638,12,0,0
0,739,12,0,0
0,493,12,0,0
0,650,10,1,0
0,308,7,0,0
0,629,16,0,0
0,409,13,0,0
0,600,18,0,0
0,745,12,0,0
0,625,17,0,0
0,549,12,0,0
0,326,15,0,0
0,258,9,0,0
0,875,12,0,0
0,639,12,0,0
0,667,11,0,0
0,504,14,1,0
0,313,17,1,0
0,1010,18,1,0
0,1000,10,0,0
0,721,16,0,0
0,785,12,0,0
0,546,12,0,0
0,828,12,0,0
0,159,12,0,0
0,700,10,0,0
0,721,13,0,0
0,304,12,0,0
0,553,16,0,0
0,542,14,1,0
0,509,16,0,0
0,385,16,0,0
1,1442,12,0,0
1,879,16,0,0
1,1000,13,0,0
1,863,12,0,0
1,740,12,0,0
1,889,12,0,0
1,458,15,0,0
0,450,12,0,0
0,700,12,0,0
0,744,14,0,0
0,889,16,0,0
0,692,18,0,0
0,604,18,0,0
0,625,18,0,0
0,746,14,0,0
0,726,18,0,0
0,560,12,0,0
0,424,12,0,0
0,400,12,0,0
0,250,14,0,0
0,646,13,0,0
0,598,12,0,0
0,1000,12,0,0
1,528,12,0,0
1,481,12,0,0
1,850,12,0,0
1,506,14,0,0
1,512,12,0,0
1,220,11,0,0
1,154,16,0,0
1,240,12,0,0
1,557,12,0,0
1,500,15,0,0
1,372,16,0,0
1,350,10,0,0
1,584,12,0,0
1,515,13,0,0
0,390,12,0,0
0,280,16,0,0
0,690,12,0,0
0,300,12,0,0
0,635,17,0,0
0,342,13,0,0
0,505,16,0,0
0,356,13,0,0
0,262,12,0,0
0,400,10,0,0
0,740,13,0,0
0,342,12,0,0
0,276,15,0,0
0,427,9,0,0
0,239,12,0,0
0,385,13,0,0
0,350,12,0,0
0,599,12,0,0
0,750,15,0,0
0,692,16,0,0
0,147,12,0,0
1,280,12,0,0
1,769,18,0,0
1,1010,13,0,0
1,517,14,0,0
1,400,16,0,0
1,375,12,0,0
0,596,12,0,0
0,350,7,0,0
0,417,11,0,0
0,338,16,0,0
0,481,18,0,0
0,500,12,0,0
0,305,12,0,0
0,450,10,0,0
1,769,16,0,0
1,721,16,0,0
1,1000,13,0,0
1,625,14,0,0
1,817,16,0,0
1,377,12,0,0
1,708,12,0,0
1,411,14,0,0
1,1339,13,0,0
1,716,12,0,0
1,192,10,0,1
1,797,16,0,1
1,924,16,0,1
1,240,15,0,1
1,625,13,0,0
1,1025,8,0,0
1,503,12,1,1
1,462,16,0,0
1,476,16,0,0
1,500,15,1,0
1,1000,12,0,0
1,663,13,0,0
1,707,15,0,0
1,928,16,1,0
1,300,12,0,0
1,365,15,0,0
1,645,12,0,0
0,462,18,0,0
0,1026,18,0,0
0,525,12,0,0
0,375,18,0,0
0,1538,18,0,0
0,923,18,0,0
0,568,13,0,0
0,600,14,0,0
0,721,15,0,0
0,1116,17,0,0
0,712,14,0,0
0,808,16,0,0
0,925,11,0,0
0,550,9,0,0
0,271,12,0,0
1,833,7,0,0
1,1200,12,0,0
1,581,14,0,0
1,686,17,0,1
1,1000,18,0,1
1,537,13,0,1
1,690,12,0,1
1,500,12,0,0
0,750,13,0,0
0,913,17,1,0
0,600,15,0,0
0,577,16,0,0
0,601,12,0,0
0,577,12,0,0
0,677,12,0,0
0,473,18,0,1
0,350,14,0,0
0,620,15,0,0
0,378,16,0,0
0,243,16,0,0
0,750,12,0,0
0,441,18,0,0
0,688,14,0,0
0,501,18,0,0
0,400,12,0,0
0,981,12,0,0
1,649,14,1,0
1,625,12,0,0
1,707,16,0,1
1,1043,12,0,0
1,761,12,0,0
1,524,13,0,0
1,575,13,0,1
1,865,14,0,1
1,713,12,0,1
1,673,16,0,0
1,662,12,0,0
1,543,14,0,0
1,525,13,0,0
1,640,12,0,0
1,297,12,0,0
1,947,8,0,1
1,500,12,0,1
1,620,13,0,1
1,277,12,0,1
0,240,10,1,0
0,240,10,1,0
0,462,12,0,0
0,404,12,0,1
0,450,12,0,1
0,250,12,0,1
0,727,11,0,1
0,667,12,0,1
0,962,12,0,1
0,750,14,0,0
0,667,14,0,0
0,692,17,0,0
0,465,12,0,1
0,641,12,0,1
0,710,11,0,1
0,425,13,0,1
0,833,12,0,0
0,308,12,0,0
0,625,16,0,0
0,1442,16,0,0
0,673,16,0,0
0,1346,17,0,0
0,400,17,0,0
0,518,9,0,0
0,456,14,0,0
0,409,17,1,0
0,559,18,0,0
0,230,12,0,1
1,1026,17,0,0
1,1082,12,0,0
1,1202,14,0,0
1,329,17,0,0
1,481,18,0,0
1,673,18,1,0
1,1683,17,0,0
1,1282,16,0,0
1,577,12,0,0
1,444,18,0,0
1,481,16,0,1
1,467,12,0,1
1,668,6,0,0
1,286,15,0,0
1,577,18,0,0
1,721,14,0,0
1,462,12,0,0
1,750,15,0,0
1,200,12,0,0
1,650,12,0,0
1,481,18,0,0
1,600,11,0,0
1,769,16,1,0
1,775,17,0,0
1,641,16,0,0
1,1055,14,0,0
1,676,16,0,0
1,691,12,0,0
1,962,17,0,0
1,400,13,0,0
1,673,16,0,0
1,1442,18,0,1
1,529,18,0,0
1,700,14,0,1
1,675,8,0,1
1,494,18,0,0
1,500,12,0,0
1,450,16,0,1
1,601,13,0,1
1,717,13,0,1
1,575,12,0,1
1,350,12,0,1
1,350,12,0,1
0,643,16,0,0
0,675,15,0,0
0,679,15,0,0
0,534,12,0,0
0,524,16,0,0
0,667,16,1,0
0,370,14,0,0
0,658,15,0,0
0,700,12,0,1
0,311,18,0,0
0,841,9,0,0
0,660,14,0,0
0,692,16,0,0
0,577,15,0,0
0,705,17,0,0
0,292,16,1,0
0,750,13,0,0
0,1442,16,0,0
0,1202,16,0,0
0,1603,15,1,0
0,769,14,1,0
0,513,16,0,0
0,805,12,0,0
0,962,17,0,0
0,675,12,0,0
0,398,13,0,0
0,855,14,0,0
0,693,11,0,1
0,641,11,0,1
0,345,13,0,1
0,561,12,0,1
0,684,12,0,1
0,469,16,1,0
0,300,16,0,0
0,673,18,0,0
0,385,16,0,0
0,808,16,0,0
0,548,17,0,0
0,500,16,0,0
0,727,13,0,0
0,524,16,0,0
0,450,15,0,1
0,755,12,0,1
0,640,12,0,1
0,313,12,0,1
0,1425,12,0,0
0,761,12,0,0
0,600,12,0,0
0,1111,16,0,0
0,763,16,0,0
0,650,12,0,0
0,1155,14,0,0
0,600,12,0,0
0,555,12,0,0
0,543,11,0,0
0,550,11,0,0
0,800,11,0,0
0,1000,11,0,0
0,864,12,0,0
0,613,13,0,0
0,519,16,0,0
0,707,13,0,1
0,818,13,0,1
0,300,10,0,1
1,702,16,0,0
1,1322,16,0,0
1,380,12,0,1
1,400,11,0,1
1,498,11,0,1
1,663,10,0,1
1,600,10,0,1
1,1034,18,1,0
1,1079,14,0,0
1,400,18,1,0
1,641,16,0,0
1,620,12,0,0
1,481,17,0,0
1,1058,16,0,0
1,545,12,0,0
1,786,14,0,0
1,485,18,0,0
1,722,14,0,0
1,695,15,0,0
1,549,15,0,0
1,793,15,0,0
1,1923,16,1,0
1,793,15,0,0
0,900,15,0,0
0,654,14,0,0
0,513,12,0,0
0,384,14,0,0
0,500,16,1,0
0,601,15,0,0
0,438,12,0,0
0,500,12,0,0
0,1264,18,0,0
0,747,14,1,0
0,513,14,0,0
0,700,12,1,0
0,672,16,0,0
0,983,17,0,0
0,220,13,0,0
0,1202,18,0,0
0,667,12,0,0
0,838,14,0,1
0,444,15,0,0
0,543,12,0,0
0,505,14,1,0
0,797,12,0,0
0,357,9,0,0
0,500,12,0,0
0,962,12,0,0
0,350,11,0,0
0,313,15,0,0
0,117,16,1,0
0,726,12,0,0
0,536,13,0,1
0,532,13,1,1
0,428,17,1,1
0,1094,16,0,0
0,1925,12,0,0
0,850,18,1,0
0,365,12,0,0
0,474,16,0,0
0,656,13,0,0
0,440,12,0,0
0,462,14,0,0
0,673,16,0,0
0,1150,12,0,0
0,800,12,0,0
0,460,12,0,0
1,334,12,0,0
1,702,13,0,0
1,524,12,0,0
0,667,7,0,0
0,641,18,0,0
0,800,12,0,0
1,577,12,0,0
1,423,18,0,0
1,874,18,0,0
1,640,15,0,0
0,1101,16,1,0
0,649,16,0,0
0,450,12,1,0
0,924,12,0,0
0,698,11,0,0
0,505,15,0,1
0,556,16,1,0
0,375,17,0,0
0,673,15,1,0
0,308,13,0,0
0,585,12,0,0
0,781,12,0,0
0,656,12,0,0
0,423,12,0,0
0,1282,16,0,0
0,962,12,0,0
0,800,12,0,0
0,750,12,0,0
0,647,18,0,0
0,938,12,0,0
0,537,17,0,0
0,290,15,0,0
0,192,12,1,0
0,818,18,0,0
0,813,18,0,0
0,727,12,0,0
0,1125,12,0,0
0,615,17,0,1
0,403,12,0,1
0,705,11,0,0
0,337,15,0,0
0,833,17,0,0
0,192,17,0,0
0,730,12,0,0
0,542,10,0,0
0,823,12,0,0
0,438,12,1,0
0,735,14,1,0
0,427,16,0,0
0,340,12,0,0
0,481,13,1,0
0,817,16,0,0
0,500,12,0,0
0,543,12,0,1
0,447,16,0,0
0,217,15,0,0
0,275,8,0,0
0,352,15,0,1
0,721,12,0,0
0,1008,12,0,0
0,654,17,0,0
0,803,16,0,0
0,570,12,0,0
0,600,16,0,0
0,645,12,0,0
0,450,13,0,0
0,445,13,1,0
0,590,15,0,0
0,721,14,0,0
0,693,12,0,0
0,529,13,1,0
0,470,9,0,0
0,481,16,0,0
0,462,16,0,0
0,554,17,0,0
0,865,14,0,0
0,713,16,0,0
0,740,12,0,0
0,817,14,0,0
0,677,12,0,0
