ID	age	gender	party	eidretain	eidideology	treatment	respideol	distideol	educ
R_poaUMG1G7YLrKKt	25-34	Female	Strong Democrat	1	7	1	2	5	Some college
R_1JDgtTKveX3DbOt	45-54	Female	Republican Leaner	2	6	1	5	1	Associate degree
R_2Yb8AZwaXDyvkId	25-34	Female	Strong Democrat	2	5	1	2	3	Some college
R_RV5eAo3HEWPmI7L	18-24	Female	Not so strong Republican	3	5	0	6	1	Some college
R_2y1qt5Wn0OfgZSj	25-34	Female	Independent/Other	3	5	0	4	1	Associate degree
R_YQ4oyG1NaLOtwPv	25-34	Male	Not so strong Democrat	1	1	1	1	0	Bachelor's degree
R_2CNhwgu5YLbOSs8	18-24	Male	Not so strong Democrat	2	6	1	4	2	Some college
R_1mmBtRDF002MoZX	55-64	Female	Strong Republican	2	4	0	7	3	Bachelor's degree
R_2VpZMBeChpHoFJF	18-24	Female	Not so strong Democrat	1	4	0	4	0	Associate degree
R_2X5tUdSmNGnFKmj	25-34	Female	Not so strong Democrat	2	6	1	2	4	Bachelor's degree
R_1Cwg7abPASrkkhX	25-34	Male	Not so strong Republican	3	4	0	7	3	Associate degree
R_T6K4BsIqyUi3t5v	35-44	Female	Strong Democrat	2	6	1	3	3	Bachelor's degree
R_1ONbqnYn43XUHqd	18-24	Female	Independent/Other	3	4	0	4	0	Some college
R_3RylJoOcoYes1Iz	18-24	Male	Not so strong Democrat	3	4	0	4	0	Bachelor's degree
R_PYQ2uZw2vrP90xb	25-34	Male	Independent/Other	1	7	1	4	3	Bachelor's degree
R_XyOXJ6Ece6UleHn	25-34	Male	Not so strong Democrat	1	7	1	3	4	Some college
R_3g0M6tBbeRT1iXv	45-54	Female	Not so strong Republican	3	5	1	5	0	Some college
R_27HXeskr9PaDxk2	35-44	Female	Strong Democrat	3	4	0	2	2	Bachelor's degree
R_22wZbj9WIZ8MRUV	35-44	Male	Not so strong Republican	3	4	0	7	3	HS diploma or the equivalent
R_1NwyqOhiup4RMXQ	25-34	Male	Strong Democrat	3	4	1	4	0	Some college
R_1Nn9MjKKzHqTPIw	25-34	Male	Independent/Other	3	4	0	4	0	Bachelor's degree
R_1jxZoeAdnOFqfeW	25-34	Male	Strong Democrat	2	4	0	1	3	Bachelor's degree
R_41SNrQTSj9VgAgN	25-34	Male	Not so strong Democrat	2	6	1	4	2	Some college
R_2TYO5vYIpOISs2h	18-24	Female	Independent/Other	4	4	1	4	0	Bachelor's degree
R_237CpXlqmKwEHG8	55-64	Female	Strong Democrat	2	5	1	1	4	HS diploma or the equivalent
R_RlCqx0rNBiIbVHr	25-34	Male	Independent/Other	2	6	0	4	2	Bachelor's degree
R_3J7P5fEePWOMO2S	25-34	Male	Independent/Other	2	5	1	4	1	Associate degree
R_2QstarzLYn2pOhD	55-64	Male	Republican Leaner	3	5	1	5	0	Some college
R_vZDzEinNNKJjRKx	25-34	Male	Democrat Leaner	2	5	1	1	4	Bachelor's degree
R_5AW0fSlNbjbB7bz	35-44	Female	Strong Democrat	2	5	0	2	3	HS diploma or the equivalent
R_7VCVJn3MiPybc53	35-44	Male	Republican Leaner	2	4	0	6	2	HS diploma or the equivalent
R_2xxzago7weXR2Yo	25-34	Male	Independent/Other	2	5	0	4	1	Bachelor's degree
R_2Enw3ZU6D7g2Qjl	25-34	Male	Independent/Other	1	1	0	1	0	Bachelor's degree
R_1eIrQseI3jHQRw1	35-44	Male	Democrat Leaner	2	4	1	2	2	Some college
R_2VD3MaXjCPvfVDz	25-34	Male	Strong Republican	2	4	0	7	3	HS diploma or the equivalent
R_2q7CveEAaS2V079	25-34	Male	Not so strong Republican	3	3	0	5	2	Bachelor's degree
R_s52rBKqGpGB0xep	25-34	Male	Democrat Leaner	2	4	0	3	1	Some college
R_3PsFtwsoWZqbgJ1	25-34	Male	Independent/Other	2	4	0	4	0	HS diploma or the equivalent
R_2WU6engYqc5dBrV	45-54	Female	Not so strong Democrat	3	3	0	2	1	Some college
R_1hN1vXOltTO4rXZ	25-34	Male	Not so strong Republican	3	4	0	5	1	HS diploma or the equivalent
R_cvC1ZAbM7kSKKqt	25-34	Female	Not so strong Democrat	2	4	1	3	1	Some college
R_UVDWxtQDDzZu4XT	18-24	Female	Not so strong Democrat	2	5	0	6	1	Associate degree
R_OIHKWi5sARKHa5b	18-24	Male	Strong Democrat	2	4	0	1	3	Some college
R_2y1KILgQy5OI3bz	25-34	Female	Independent/Other	3	3	0	4	1	Some college
R_2YyzH55nsogw2WT	25-34	Male	Not so strong Democrat	2	4	0	5	1	Bachelor's degree
R_1KjnGSrKL7j3OGh	25-34	Male	Not so strong Democrat	3	4	1	3	1	Bachelor's degree
R_2ToCp4QX8E5jjhp	35-44	Female	Strong Democrat	2	4	1	1	3	Bachelor's degree
R_2ypeX9AOfojDQCU	25-34	Female	Strong Democrat	2	4	1	1	3	Master's degree
R_PZodmk6jhpQSWtP	25-34	Male	Not so strong Republican	3	7	0	5	2	Associate degree
R_3iLp5MtgZTlVEjS	25-34	Female	Strong Democrat	2	2	0	1	1	Bachelor's degree
R_2bKneetmnC6jMpc	25-34	Male	Not so strong Republican	4	4	0	5	1	Bachelor's degree
R_1OxfZ5R6im3i53W	25-34	Female	Democrat Leaner	2	6	1	2	4	Bachelor's degree
R_2EuvvLX3fmMskVS	45-54	Female	Not so strong Democrat	3	5	1	2	3	Master's degree
R_2WPfSZKyDK8OXPG	45-54	Male	Democrat Leaner	1	7	1	2	5	Bachelor's degree
R_2BqA6Hg2ijlRVxO	25-34	Male	Strong Democrat	2	4	0	1	3	Bachelor's degree
R_RWaV7JYrJMNo3WF	35-44	Female	Independent/Other	2	4	0	2	2	Some college
R_2cnNmSOuqZNGkfF	35-44	Female	Republican Leaner	2	4	0	6	2	Associate degree
R_1rkmNFLMmFftBrs	25-34	Female	Strong Democrat	2	4	1	1	3	Associate degree
R_3MmvfCK9znieqBI	25-34	Female	Not so strong Democrat	1	6	1	2	4	Master's degree
R_1FybzEe57dHXjLW	25-34	Male	Democrat Leaner	4	4	0	3	1	Associate degree
R_3F5layXX8fsquUX	35-44	Male	Democrat Leaner	3	4	0	2	2	HS diploma or the equivalent
R_7WFSPmqxqD5LTqN	25-34	Female	Not so strong Republican	2	4	0	5	1	Associate degree
R_2frkhe8P57eexsL	35-44	Male	Democrat Leaner	2	6	1	3	3	Bachelor's degree
R_2xS3tCUrFktfs6C	25-34	Male	Not so strong Democrat	3	3	0	2	1	Bachelor's degree
R_3mjBM44cuY2to4a	25-34	Male	Independent/Other	2	5	0	1	4	Bachelor's degree
R_3GxoUeGNk6KEwS0	25-34	Male	Independent/Other	1	6	0	3	3	HS diploma or the equivalent
R_2Qs4zLha1zmnS5R	35-44	Female	Not so strong Republican	1	1	0	5	4	Bachelor's degree
R_1Ked9q9Illhz8Qo	25-34	Male	Not so strong Republican	2	4	0	6	2	Master's degree
R_2eW4t33EIcjlE7m	25-34	Female	Not so strong Democrat	1	1	1	3	2	Associate degree
R_3FRpq6jOM7PO45V	45-54	Male	Not so strong Republican	1	2	1	6	4	Bachelor's degree
R_1goKL0nI2wjjuaO	18-24	Female	Not so strong Democrat	1	1	0	2	1	Bachelor's degree
R_XTbzOUDvgwo861X	25-34	Female	Strong Democrat	3	4	0	1	3	Bachelor's degree
R_2PC2gd1RMkBj5li	25-34	Female	Republican Leaner	2	4	0	5	1	Bachelor's degree
R_z6iIKbzss8QWGxX	35-44	Male	Not so strong Republican	3	5	1	5	0	Bachelor's degree
R_1j9QGp0bJ1yR7uO	25-34	Female	Strong Republican	2	5	0	6	1	Bachelor's degree
R_2WSj8a6x7GI7g2s	35-44	Male	Democrat Leaner	2	6	1	4	2	Bachelor's degree
R_2rMIvBx5fMcplg4	25-34	Female	Strong Republican	2	3	0	6	3	HS diploma or the equivalent
R_6FP1Dq63ETqpORX	25-34	Male	Not so strong Republican	3	3	0	6	3	Bachelor's degree
R_3Pcts4Eri3oixYe	25-34	Male	Republican Leaner	1	2	0	6	4	Bachelor's degree
R_3L1PapiDp7AnLsF	18-24	Female	Independent/Other	1	4	0	4	0	Some college
R_1pVXaQhZP3lR1to	45-54	Male	Strong Democrat	1	6	1	1	5	Bachelor's degree
R_1jxJQVuzu1a7U86	35-44	Male	Not so strong Republican	4	6	1	6	0	Bachelor's degree
R_qPlB7wWCbF9InFT	35-44	Male	Not so strong Democrat	4	4	0	2	2	Some college
R_1k2l2zaSDEaNRxx	18-24	Male	Strong Republican	2	3	0	7	4	Bachelor's degree
R_3OrD4XubePDEcGr	18-24	Male	Not so strong Democrat	2	4	1	3	1	Some college
R_3nkjhJ8asgTYPpv	35-44	Male	Not so strong Republican	4	4	1	6	2	Bachelor's degree
R_1Igh5OVBPrAg2Ls	35-44	Male	Not so strong Republican	3	4	1	4	0	Bachelor's degree
R_3NIZeLvTRVl9caZ	18-24	Male	Democrat Leaner	2	4	0	3	1	Bachelor's degree
R_2YXM6SuSG5ILnFM	45-54	Male	Democrat Leaner	3	3	0	3	0	Master's degree
R_ApSgHRvD8M6JItz	25-34	Male	Strong Republican	2	4	0	6	2	Associate degree
R_pgfgMvjW0XPexH3	25-34	Male	Independent/Other	2	4	0	2	2	HS diploma or the equivalent
R_1erWTTAXm5x90wl	25-34	Male	Strong Republican	3	4	0	6	2	Bachelor's degree
R_2VJzJ3gL242Omof	25-34	Female	Strong Democrat	3	6	1	2	4	Associate degree
R_9QV0aSqEenpTsL7	45-54	Male	Strong Republican	2	4	1	7	3	HS diploma or the equivalent
R_1CqBgKtW3KWODIR	35-44	Female	Strong Republican	4	6	1	7	1	Bachelor's degree
R_294WVC8tYSZqXN7	55-64	Male	Republican Leaner	3	6	1	5	1	HS diploma or the equivalent
R_1MLCvuqeiRdUtRl	35-44	Female	Not so strong Republican	2	4	0	5	1	Bachelor's degree
R_3dYcBgrq61nzOpc	25-34	Male	Strong Democrat	2	4	1	2	2	Professional or doctorate degree
R_3R2DzPYIQOk25DI	18-24	Female	Democrat Leaner	1	7	1	1	6	Bachelor's degree
R_31bc5KBxGtJoNia	25-34	Male	Strong Democrat	1	6	1	1	5	Bachelor's degree
R_1gC39jEZfszz3ov	35-44	Female	Strong Republican	2	5	0	7	2	Bachelor's degree
R_OvCO4s8D9duXo3f	35-44	Male	Strong Republican	3	5	1	6	1	Some college
R_1Q9Qq9FrtpsapwY	55-64	Male	Not so strong Republican	2	6	1	6	0	Some college
R_3gZ43MIazy1uG6U	25-34	Male	Democrat Leaner	2	5	0	1	4	HS diploma or the equivalent
R_3J4YgOW0dem3qZM	25-34	Female	Not so strong Democrat	3	3	0	1	2	Some college
R_3Em9CB8Kn98ZvYs	45-54	Female	Not so strong Republican	3	4	0	6	2	Some college
R_yrRefa1ol24EOLD	25-34	Male	Independent/Other	2	4	0	4	0	Some college
R_3imu1yry1pUP7N3	45-54	Female	Strong Republican	3	3	0	6	3	Some college
R_1dcQ6eYfTl0Hvrq	35-44	Male	Democrat Leaner	2	4	1	3	1	Bachelor's degree
R_1jv2D8ZCZfi0MIB	45-54	Female	Strong Democrat	2	7	1	1	6	Some college
R_3NNZAJLWlC13thI	25-34	Male	Strong Republican	3	7	1	7	0	HS diploma or the equivalent
R_1MMKMBcLp4p15VO	25-34	Male	Strong Democrat	2	4	1	5	1	Some college
R_3L51XSVZDQvdoeP	25-34	Male	Not so strong Republican	2	6	0	5	1	Associate degree
R_XSOyhKB5N0il3xf	25-34	Female	Independent/Other	3	4	1	4	0	Master's degree
R_1dxXVTwWXl7FC9w	25-34	Male	Strong Republican	2	5	1	7	2	Some college
R_1rfCn4f2jkZ5oPF	25-34	Female	Strong Democrat	3	4	0	1	3	Master's degree
R_33BIVddMITag5jU	25-34	Male	Republican Leaner	3	4	1	5	1	Bachelor's degree
R_24oBKXeGrnkAcLg	25-34	Male	Not so strong Republican	3	5	1	5	0	Bachelor's degree
R_27OqkpDAe03FWta	25-34	Male	Strong Democrat	3	2	0	2	0	Some college
R_3L07foToIQzmLTg	35-44	Female	Not so strong Democrat	2	4	0	4	0	Associate degree
R_2XnugPsPJCjb1vH	25-34	Male	Independent/Other	2	6	0	4	2	Associate degree
R_2ZE1JJns7fp7E7w	25-34	Female	Republican Leaner	4	5	0	5	0	Some college
R_Wcys5w4VGaxbmDf	25-34	Male	Independent/Other	1	7	1	4	3	Bachelor's degree
R_28ZIaQkYMmJuyxl	25-34	Male	Not so strong Democrat	2	6	1	3	3	Bachelor's degree
R_WlMDX2GbAR54EeZ	35-44	Female	Democrat Leaner	3	4	1	4	0	Associate degree
R_1f7Lwsn9yVmwZZb	35-44	Male	Strong Democrat	2	5	1	1	4	Bachelor's degree
R_29uEUC3YT6uotOQ	35-44	Female	Independent/Other	2	5	1	2	3	Master's degree
R_300JP48VGfqIOtO	25-34	Female	Independent/Other	2	3	0	1	2	Some college
R_XNzMcunow9Jr5L3	18-24	Female	Democrat Leaner	2	7	1	1	6	Bachelor's degree
R_3s1vUDK05Rg8jgC	25-34	Male	Independent/Other	1	2	0	4	2	HS diploma or the equivalent
R_10pclvh3ZDDys8r	25-34	Male	Not so strong Democrat	3	3	0	4	1	HS diploma or the equivalent
R_cvkyemo8jhhxXfr	35-44	Male	Republican Leaner	3	4	0	6	2	Associate degree
R_1It00O1Fwhqji7L	25-34	Female	Strong Democrat	2	3	0	1	2	Bachelor's degree
R_2dKIRz2jMSO2zyH	35-44	Female	Not so strong Democrat	1	7	1	2	5	Bachelor's degree
R_2BmTXUXzrENBnk4	45-54	Female	Strong Republican	4	6	1	6	0	Bachelor's degree
R_1KkbudM5Ga6CjcY	25-34	Male	Independent/Other	2	3	0	4	1	Some college
R_2bJ1xZaLxIZQBzZ	35-44	Female	Not so strong Republican	2	4	0	5	1	Bachelor's degree
R_Zs28cc3Hlhku5Cp	35-44	Female	Strong Democrat	2	4	1	1	3	Bachelor's degree
R_1Nel833d8xkhVJ2	35-44	Male	Democrat Leaner	2	6	1	4	2	Master's degree
R_1FzGfKfwyUkWdTI	25-34	Male	Independent/Other	2	4	1	5	1	Some college
R_3GdJrpju0FVSuhi	35-44	Male	Strong Democrat	3	3	0	2	1	HS diploma or the equivalent
R_cO0cm1PzaI6zZHH	25-34	Male	Strong Democrat	3	2	1	3	1	Associate degree
R_A4fzOnZMCyU94QN	25-34	Male	Strong Democrat	2	2	1	3	1	Associate degree
R_7W0AfrnPeMS4kYV	45-54	Female	Republican Leaner	2	5	1	4	1	Bachelor's degree
R_2CPSpXxQJ5FmgGh	25-34	Female	Strong Democrat	1	7	1	1	6	Bachelor's degree
R_3MJBzkSVsSYr3Zw	25-34	Male	Strong Democrat	2	2	0	2	0	Associate degree
R_2czPdYKAKel5z6c	35-44	Male	Not so strong Democrat	3	3	0	2	1	Bachelor's degree
R_2zbGyUmAnSBUzPA	25-34	Male	Democrat Leaner	2	6	1	1	5	Bachelor's degree
R_11iHHSRdkntk2Ld	35-44	Female	Independent/Other	3	4	0	4	0	Bachelor's degree
R_yOwZKEMxgiNrui5	35-44	Male	Republican Leaner	2	4	0	6	2	HS diploma or the equivalent
R_2V4P6maQA4KyqOg	25-34	Female	Strong Democrat	3	3	0	2	1	Bachelor's degree
R_3lJPZv9kVn0XOGl	25-34	Male	Strong Republican	4	7	0	4	3	Master's degree
R_1QhyTTzIRn5MlDv	35-44	Female	Strong Democrat	1	7	1	1	6	HS diploma or the equivalent
R_XRJaXugdpCcEKWd	35-44	Female	Independent/Other	2	5	1	4	1	Bachelor's degree
R_31Nvstjcyvl0pmj	25-34	Male	Independent/Other	2	4	1	4	0	HS diploma or the equivalent
R_2vk12HsvFK7FtDN	25-34	Male	Strong Democrat	2	4	1	2	2	Some college
R_p43vN3JRWiN38ad	25-34	Male	Independent/Other	2	3	0	4	1	HS diploma or the equivalent
R_RrYHzkGTJ7legud	45-54	Female	Not so strong Democrat	2	6	1	1	5	HS diploma or the equivalent
R_2akwYo6r7BSDvTk	35-44	Male	Strong Democrat	1	7	1	2	5	Some college
R_AamB1rznAvpi1YB	25-34	Female	Not so strong Democrat	2	2	0	2	0	Bachelor's degree
R_01HuCSUNBzkX0Y1	25-34	Male	Not so strong Democrat	2	2	0	2	0	Master's degree
R_1kYuOw8c9xf9IKe	25-34	Male	Not so strong Democrat	2	5	1	2	3	HS diploma or the equivalent
R_2UaQEV5f7EjS1ty	35-44	Male	Not so strong Republican	2	3	0	5	2	Master's degree
R_2aQNYUz5LDCMPOU	25-34	Female	Not so strong Democrat	2	5	0	3	2	Some college
R_agBQ8HwE9X23J73	25-34	Male	Independent/Other	2	4	1	4	0	HS diploma or the equivalent
R_2zGa4zR5VCKoJz1	25-34	Male	Strong Democrat	1	7	1	2	5	Master's degree
R_2Eaz7TBozr6G9fW	35-44	Male	Not so strong Democrat	2	7	1	5	2	Some college
R_2dMThloQKeKzZfN	25-34	Male	Democrat Leaner	4	4	0	1	3	Bachelor's degree
R_2BzjfnYsrHop5qG	25-34	Male	Strong Democrat	1	7	1	1	6	Bachelor's degree
R_2Pt9YaginFDfIDp	18-24	Male	Strong Democrat	3	2	0	1	1	Bachelor's degree
R_2vYec0MHr68oxZo	35-44	Female	Democrat Leaner	3	4	1	3	1	Professional or doctorate degree
R_3q8d7AHuZ9F4I0o	25-34	Female	Strong Democrat	2	6	1	2	4	Bachelor's degree
R_1Ltch3pHssuhF35	35-44	Female	Strong Republican	3	6	1	6	0	Associate degree
R_3fefo2X8tEeCfPb	18-24	Male	Not so strong Democrat	3	4	1	2	2	Associate degree
R_3JasLi0NSOEW1TT	18-24	Female	Not so strong Democrat	3	5	1	2	3	Bachelor's degree
R_1rqu5WQJDuMn37R	25-34	Female	Strong Democrat	2	5	1	1	4	Bachelor's degree
R_22J2t68FeiNc1HT	35-44	Male	Strong Democrat	2	5	1	1	4	Master's degree
R_2dgtxWLh2hDwZKh	25-34	Male	Democrat Leaner	1	4	1	3	1	Some college
R_24Pgv8ya4wz4dxC	35-44	Male	Republican Leaner	2	3	0	5	2	Bachelor's degree
R_3hDvNYyMYsqfHsP	25-34	Female	Not so strong Republican	3	6	1	5	1	Associate degree
R_xyXdUAnzx1pDOU1	25-34	Male	Democrat Leaner	4	4	0	3	1	Bachelor's degree
R_3iWJMH0zeAQFNgi	18-24	Male	Not so strong Republican	3	6	1	5	1	HS diploma or the equivalent
R_2tFqY5ivIaeoygb	18-24	Other	Strong Democrat	3	4	0	1	3	Some college
R_3jZfcu5NzxtMR0k	25-34	Female	Democrat Leaner	2	4	1	4	0	Bachelor's degree
R_2E18JabIdLU6Uh4	25-34	Male	Independent/Other	2	4	0	4	0	Some college
R_V2ptZYRND2Nbj1f	35-44	Male	Not so strong Democrat	1	7	0	2	5	HS diploma or the equivalent
R_UuUo0MNLfRz0b5v	25-34	Male	Strong Republican	3	5	0	7	2	Associate degree
R_1q9clAxR9U8nZBU	25-34	Male	Strong Democrat	2	6	1	1	5	Bachelor's degree
R_1im9uGyaQEGI1RB	25-34	Male	Not so strong Republican	3	5	0	4	1	Associate degree
R_8Gnlqyhz0xu7iJr	25-34	Male	Not so strong Democrat	3	5	1	4	1	Master's degree
R_0iVWUuircMIodzz	55-64	Male	Not so strong Democrat	2	4	0	4	0	Bachelor's degree
R_2BtIyQc29i741yi	25-34	Male	Not so strong Democrat	3	5	0	5	0	Bachelor's degree
R_BFemduLf7M9CDS1	35-44	Female	Strong Republican	2	5	0	7	2	HS diploma or the equivalent
R_5nLxQkL5aKruNvb	35-44	Male	Not so strong Republican	2	6	1	6	0	Associate degree
R_3HRFclJ2POX6qLy	25-34	Male	Republican Leaner	3	4	1	5	1	Master's degree
R_1BYtEnwDJtbtlZ3	25-34	Female	Not so strong Republican	1	6	1	4	2	Some college
R_1LXqfXS8XibdQBJ	25-34	Male	Not so strong Democrat	2	7	1	4	3	Bachelor's degree
R_2SfpFForFhVO41D	18-24	Male	Strong Republican	3	6	1	7	1	Bachelor's degree
R_12gbVo2UJMQxUvX	18-24	Male	Republican Leaner	2	4	0	6	2	Bachelor's degree
R_1qWZ9X9URDUDbZF	25-34	Male	Strong Democrat	1	6	0	1	5	Bachelor's degree
R_utcWPs12y1yln4B	18-24	Female	Democrat Leaner	1	5	1	1	4	Bachelor's degree
R_2pQNW4lqjmbUuPG	25-34	Male	Independent/Other	2	7	1	2	5	Bachelor's degree
R_238kCa4CZV21Jns	45-54	Male	Not so strong Democrat	1	5	1	3	2	Some college
R_3QSiyRc4p78eUbI	18-24	Female	Strong Democrat	1	6	1	1	5	Some college
R_3MxSLAb67zVpEy9	25-34	Male	Strong Republican	4	6	1	6	0	Bachelor's degree
R_W2NbW3VQSm225Xz	25-34	Male	Not so strong Democrat	1	4	1	3	1	Some college
R_r2ACeznLGKHFvtD	25-34	Male	Democrat Leaner	3	6	0	2	4	Professional or doctorate degree
R_24GfUf2FaPJtlYt	45-54	Male	Not so strong Democrat	2	5	0	2	3	Some college
R_2aFzhhJacyojgZd	25-34	Male	Independent/Other	2	6	1	4	2	Some college
R_3rMskvRxcZh3Swh	35-44	Female	Not so strong Democrat	4	4	0	3	1	Bachelor's degree
R_3hxssK2bZmNeO4p	35-44	Male	Democrat Leaner	3	5	0	4	1	Master's degree
R_2ifH04w77iOD5m1	25-34	Male	Democrat Leaner	2	4	0	1	3	Master's degree
R_25HhALCV31HXRe6	25-34	Male	Independent/Other	1	7	1	4	3	Some college
R_3KOqLjSexReRFIJ	25-34	Male	Not so strong Democrat	2	7	1	3	4	Did not graduate from HS
R_3QLvgTRoixBA8TZ	35-44	Female	Independent/Other	3	5	0	4	1	Some college
R_1DS7E7TcajfKbxi	18-24	Male	Not so strong Republican	3	5	0	4	1	Associate degree
R_r3yop88iqB2ONWh	25-34	Male	Democrat Leaner	2	4	0	3	1	Bachelor's degree
R_2PAp9GO45SE2aMr	25-34	Male	Republican Leaner	1	2	0	4	2	Bachelor's degree
R_1pXQtpaoW7fi2kB	25-34	Female	Democrat Leaner	2	5	1	2	3	Bachelor's degree
R_3hEDdYq8SK7dqpq	25-34	Female	Independent/Other	2	4	0	4	0	Some college
R_2v0xaljM3D3srp0	25-34	Male	Independent/Other	2	3	0	5	2	Bachelor's degree
R_3fJMQrkjH60sTYX	25-34	Male	Not so strong Republican	2	6	1	5	1	Bachelor's degree
R_3MiFKJmFjLPoYSg	35-44	Male	Not so strong Democrat	2	2	0	2	0	Professional or doctorate degree
R_3G7l8FtUy2VLYGC	25-34	Male	Not so strong Democrat	3	3	1	3	0	Bachelor's degree
R_24MBIO9VRhVCY3h	25-34	Female	Not so strong Democrat	2	5	1	2	3	Bachelor's degree
R_1I6OcJBpv7M1ynn	25-34	Male	Independent/Other	2	3	0	5	2	Bachelor's degree
R_3FIPGJaou19JiSg	25-34	Male	Democrat Leaner	2	7	1	4	3	Bachelor's degree
R_ApWjgHXL6l2gL6x	65-74	Female	Not so strong Democrat	1	4	1	3	1	Some college
R_2Xbc2axmwu6OLkn	25-34	Female	Independent/Other	2	4	1	7	3	HS diploma or the equivalent
R_3m9I6KuKP1GOeWh	25-34	Male	Strong Democrat	1	7	1	1	6	Bachelor's degree
R_3gSddQjTRCrYtSo	35-44	Male	Not so strong Democrat	2	4	0	1	3	Some college
R_1HnnQIsbiGawAlw	25-34	Male	Strong Democrat	2	3	0	2	1	Some college
R_3J8VUDUj6Y7tk9A	25-34	Male	Not so strong Democrat	2	7	1	3	4	Bachelor's degree
R_3JxsUC2ft8pxmV2	25-34	Male	Independent/Other	2	7	1	3	4	Some college
R_3EsNUfzgSXgQSza	35-44	Male	Strong Democrat	1	7	1	2	5	Bachelor's degree
R_W7J2TecLDiJh87T	25-34	Male	Not so strong Democrat	2	4	0	2	2	Associate degree
R_27l2CuRYFjJKNps	25-34	Female	Not so strong Democrat	2	4	1	4	0	Bachelor's degree
R_3g1oadnl5s08j7E	45-54	Male	Strong Republican	2	3	0	7	4	Bachelor's degree
R_12D6W0O0GGDX3uM	18-24	Other	Democrat Leaner	2	3	0	1	2	Some college
R_1qWBCnDsHIMZYe6	25-34	Female	Not so strong Democrat	3	4	0	2	2	Some college
R_1K6zD9m79TKmsqV	18-24	Female	Independent/Other	2	4	0	3	1	Bachelor's degree
R_sBF14uJeaBMjqnf	18-24	Male	Not so strong Democrat	2	5	1	2	3	Some college
R_2drPwrAi4xt3lun	25-34	Male	Strong Democrat	1	7	1	1	6	Bachelor's degree
R_1gkCOYiegYef7AE	35-44	Male	Independent/Other	2	4	1	4	0	Some college
